"","latitude","longitude"
"181750",35.1686477661133,-5.25680780410767
"26558",47.4399642944336,15.6528558731079
"508364",44.6481552124023,0.00565299997106194
"119334",44.5551986694336,14.8855972290039
"333855",31.8452415466309,117.269218444824
"495022",43.6088829040527,17.4943065643311
"749441",-22.8639259338379,-41.9975395202637
"82457",48.6698913574219,9.38064956665039
"687230",26.9556655883789,100.215484619141
"633678",49.9629821777344,7.0013861656189
"957169",46.0889282226562,7.23040819168091
"497779",19.6383323669434,-98.9097213745117
"678270",48.5375328063965,8.35751056671143
"188855",17.5853996276855,106.27783203125
"275334",44.7349014282227,5.89522123336792
"158979",27.9210376739502,34.341007232666
"200317",6.25767278671265,-75.5914535522461
"292114",46.1396865844727,9.27657032012939
"678149",28.1591091156006,-81.6030120849609
"539119",32.7485771179199,-85.8174133300781
"219353",32.3295402526855,130.074264526367
"537360",53.5230407714844,-1.13376200199127
"745918",-37.482795715332,140.01237487793
"309806",32.0800285339355,-81.0950927734375
"187985",53.9000015258789,27.5666675567627
"456838",40.656681060791,16.7074584960938
"214538",43.9444007873535,1.82891201972961
"121074",25.4441204071045,78.5676040649414
"7650",22.6300716400146,88.4462738037109
"669684",38.1172752380371,13.3589963912964
"918933",38.0500335693359,13.0066223144531
"996099",34.2597160339355,108.967414855957
"663695",-5.79447793960571,-35.2109527587891
"510716",59.5866355895996,17.8797492980957
"391463",29.3754863739014,47.9773712158203
"965314",20.2414112091064,-155.832870483398
"636468",36.0504951477051,-112.152160644531
"764172",10.5360889434814,104.355918884277
"417901",-6.91486406326294,107.608238220215
"910190",-44.6820487976074,169.165618896484
"41886",43.1716499328613,-4.60069704055786
"337347",42.9608497619629,17.1357116699219
"392534",NA,NA
"53924",45.440845489502,12.3155145645142
"550114",53.5142135620117,12.689037322998
"253380",4.04449987411499,9.69769954681396
"727560",28.6621971130371,115.898208618164
"556741",47.1767959594727,13.7639446258545
"628119",43.4773941040039,1.57785904407501
"497997",26.4123058319092,-81.9009704589844
"3983",45.9904098510742,18.67333984375
"205923",35.0308227539062,135.71875
"44932",27.2319469451904,111.458023071289
"28584",50.9308013916016,5.33739995956421
"542424",56.0041770935059,-3.77533388137817
"669484",10.2187452316284,-68.0109786987305
"138463",-26.8054981231689,153.131637573242
