partner_id,name
748,Steigenberger
1260,FuerteHoteles
1516,CHD_Clarion
1772,cm_Ezee Technosys
2028,SWAS_Aloft
2284,SWLAT_LCollection
2540,profitroom_teb
237,Accor_IbisBudget
494,ab-in-den-urlaub.de
750,La Quinta
1262,Viva 
1518,CHD_Quality_Inn
1774,BookingSuite
2030,TravelKing
2286,SWLAT_Westin
2542,cm_bedzzle
239,Accor_Formule1
496,Kuoni
752,Dingus
1264,P3 Hotels
1520,CHD_Mainstay
1776,cm_Kosmosol
2032,cm_RoomCloud
2288,SWLAT_Aloft
2544,Mitsui Gardens
241,Accor_HotelsBarriere
498,Esky.pl
754,H10
1266,Hotels Quality
1522,CHD_Econo_Lodge
1778,Szallas
2034,Bed&Snow
2290,SWLAT_Tribute
2546,Pacific Hospitality
243,Ciao
500,HostelworldV2
756,mhs_Tomas
1268,H-Hotels
1524,CHI_Choice_International
1780,mister aladin
2036,Skiplanet
2292,cm_Bookingcore
2548,RoomKing
245,Accor_IBIS
502,Mirai
758,Radisson
1270,Doyle Collection
1526,CHI_ClarionColl
1782,HolidayCheckPW
2038,FC Jurys Inn
2294,Dream_Hotel
2550,Interhome
247,Accor_Mercure
504,ThomasCookUk
760,Radisson_Country Inn & Suites
1272,cm_Dirs21
1528,CHI_Clarion
1784,HolidayCheck_CNT
2040,cm_e4j
2296,Piemonte
2552,Signatours
249,Accor_MGALLERY
506,Iberotours V2
762,7ideas
1274,cm_resavio
1530,CHI_ComfortInn
1786,Anitur
2042,Only you
2298,Club_Quarters_Hotels
2554,Spencebeds
251,Accor_Novotel
508,Hotel-Website
764,Yatra.com
1276,cm_Reservento
1532,CHI_ComfortSuite
1788,mhs_webhotelier
2044,Airtours Peakwork V2
2300,Robinson Club Peakwork
2556,myHotelRank
253,Accor_Orbis
510,Historic Hotels
766,A&O Hotels
1278,cm_Tomas
1534,CHI_Quality
1790,roomsXXLv2
2046,cm_Roiback
2302,TUI Magic Life
2558,viajesfalabella
255,Accor_OtherBrand
