partner_id,name
1076,Ticket.se
1332,Gardapass
1588,Palladium
1844,FastConnectTestPartner
2100,cm_Sabre
2356,Al_Mosafer
2612,RIU Hotels and Resorts
53,lastmpackage
309,tripsta.pl
54,priceline
566,confortel
822,TUI.it
1078,City Hotels
1334,OstrovokData
1590,Carlson_CNT
1846,Zenrooms
2102,Playa Senator
2358,BestWestern_US
2614,cm_Availroom
55,hotelbook
311,Qype
56,opodo
568,Cantik Bali Villas
824,MagicCosta
1080,bookIt
1336,HappyRoomsData
1592,Wyndham_CNT
1848,Bastion Hotels
2104,VallartaMX
2360,CHA_Quality_Inn
2616,cm_TravelLine
57,holidaycheck
313,venere_expedia
58,tripadvisor
570,MakeMyTrip
826,Design Hotels
1082,H_Doubletree
1338,MagicCostaBlanca
1594,cm_Verticalbooking
1850,Room Mate Hotels
2106,VallartaUS
2362,CHA_Comfort_Inn
2618,alpharooms_tFC_2618
59,agoda
315,CharmingHotels
60,easytobook
572,Dolce
828,Reservit
1084,H_Garden Inn
1340,mhs_e4j
1596,cm_vioma
1852,Despegar_BR
2108,LosCabosUS
2364,CHA_Econo_Lodge
2620,Accor_Mama_Shelter
61,hostelsclub
317,Zoover
62,epoque
574,Starhotels
830,Amoma
1086,H_Hampton Inn
1342,univisit
1598,CHI_Sleep_Inn
1854,Valenciaflats
2110,LosCabosMX
2366,CHA_Clarion
2622,cm_Desbravador
63,superbreak
319,TouricoLastminuteTravel
64,hoteladvisor
576,MmOne
832,Travelbug
1088,H_Conrad
1344,Private Selection Hotels
1600,prizeotel
1856,HotelQuickly
2112,CancunMX
2368,CHA_Ascend
2624,HotelMurah
65,onhotels
321,Atrapalo2
66,hotelsnl
578,Orient Express
834,ICE
1090,H_Waldorf Astoria
1346,mhs_phobs
1602,cm_Wubook
1858,cm_domeconsulting
2114,CancunUS
2370,Two Roads_Destination Hotels
2626,Eurostars_Exe
67,HotusaGroup
323,TUI.com
68,voyagesSncf
580,ihg_holidayInnExpress
836,RadissonEMEA_Quorvus Collection
1092,Homewood Suite
1348,H_Doubletree_US
1604,cm_phobs
1860,Tatilbudur
2116,mhs_klagenfurt
2372,cm_PeninsulaGrouphotels
2628,BestWestern_SE
69,barceloviajes
325,airtours.de
70,certified business hotels
582,ihg_candlewood
838,RadissonEMEA_ParkInn
1094,Embassy Suites
1350,Hilton_US
1606,Opodo Peakwork
1862,mhs_dingus
2118,Triverna
2374,Palladium EU
2630,bookingmatch.com_v2
71,splendia
327,booking_mediumbucket
72,ruralgest
584,ihg_staybridgeSuites
840,RadissonEMEA_ParkPlaza
1096,Hilton Family
1352,H_Garden Inn_US
1608,Logitravel_CNT
1864,Siteminder_APAC
2120,Kaligo
2376,Rotana Hotels & Resorts
2632,cm_SHR
73,ihg_crownePlaza
329,Dummytestpartner
74,Lastminute International
586,Go4travel.net
842,Radisson_Radisson
1098,visit.bg
1354,H_Hampton Inn_US
1610,Atrapalo_CNT
1866,PanPacific
2122,FabHotels
2378,Palladium AM
2634,Cancun.com
75,ihg_candlewood
331,Ratestogo_OBSOLETE
76,hostelworld
588,despegar
844,RadissonEMEA_RadissonBlu
1100,MountVacation
1356,H_Conrad_US
1612,Agoda_CNT
1868,ParkRoyalHotels
2124,Minor_Anantara
2380,pw_holidaycheck
2636,Goibibo_DH
77,ihg_hiexpress
333,IHR Ibero Tour
590,armHotels
846,RadissonEMEA_RadissonEdwardian
1102,mhs_Robinson
1358,H_Waldorf_US
1614,WelcomeHotels
1870,mhs_octorate
2126,Minor_Avani
2382,cm_Octorate_teb
2638,synxisV3
79,ihg_indigo
335,DizzyGoat
80,Reservento
592,itravel2000
848,Regal Hotels
1104,traveltipz
1360,H_Homewood_US
1616,OMNI Hotels
1872,Choice_CA
2128,mhs_oberstaufen
2384,cm_e4j_teb
2640,hutchgo_v3
81,ihg_holidayInn
337,Hotele.pl
82,otel.com
594,Marriott_JW Marriott
850,Scandic Hotels
1106,nh_hesperia
1362,H_Embassy_US
1618,kurzMalWeg
1874,CHC_Ascend
2130,mhs_badhindelang
2386,hotels.co.il
2642,cm_ParatyTech
83,ihg_StayBridge
339,DummyLM74
84,1800hotels
596,Ritz-Carlton_Edition
852,ViajesElCorteIngles_v2
1108,nh_hotels
1364,H_Curio_US
1620,Etstur
1876,CHC_Clarion
2132,cm_Cosmores
2388,gezinomi
2644,JAHN Reisen_PW
85,Initalia
341,Destinia
86,tui
598,Marriott_Autograph Collection
854,TripAdvisorV2
1110,nh_collection
1366,H_Home2_US
1622,NH_Content
1878,CHC_Comfort_Inn
2134,Ramada_synxis
2390,Oyo_Sub
2646,Avigo
87,infohostal
343,ViajesIberia
600,Marriott_Renaissance Hotels
856,Cleartrip
1112,nh_nhow
1368,H_Grand_US
1624,TOP_Wellnessfinder
1880,CHC_ComfortSuite
2136,Interpark
2392,hotel_center
2648,cm_slope
89,budgetplaces.com
345,VisitPrague
602,Marriott_AC Hotels
858,travel24.com
1114,MyHotelShop_Content
1370,Lastminute International V2
1626,PH Hotels
1882,CHC_Econo_Lodge
2138,Daytona Beach
2394,Hotelbank.hu
2650,Revato
91,Hotels4U
347,HotelscomVenere
604,Marriott_Marriott Hotels & Resorts
860,Abba
1116,nh_main
1372,Ameropa Peakwork
1628,sawadee.com
1884,CHC_Mainstay
2140,Visit Granbury
2396,cm_availpro_teb
2652,SafariNow
93,Rezidor
349,ms_test_a
606,Marriott_Courtyard
862,TravelCharme
1118,Falkensteiner
1374,lastminute.deV2
